Niter,Jacobi,Gauss-Seidel,Relaxation
317.000000,-0.047367,-0.071027,-0.069707
318.000000,-0.047452,-0.071162,-0.069839
319.000000,-0.047538,-0.071297,-0.069971
320.000000,-0.047623,-0.071432,-0.070103
321.000000,-0.047708,-0.071566,-0.070234
322.000000,-0.047793,-0.071701,-0.070366
323.000000,-0.047878,-0.071835,-0.070497
324.000000,-0.047963,-0.071969,-0.070628
325.000000,-0.048048,-0.072104,-0.070760
326.000000,-0.048133,-0.072238,-0.070891
327.000000,-0.048217,-0.072371,-0.071022
328.000000,-0.048302,-0.072505,-0.071152
329.000000,-0.048386,-0.072639,-0.071283
330.000000,-0.048471,-0.072772,-0.071414
331.000000,-0.048555,-0.072905,-0.071544
332.000000,-0.048639,-0.073039,-0.071675
333.000000,-0.048723,-0.073172,-0.071805
334.000000,-0.048807,-0.073305,-0.071935
335.000000,-0.048891,-0.073438,-0.072065
336.000000,-0.048975,-0.073570,-0.072195
337.000000,-0.049058,-0.073703,-0.072324
338.000000,-0.049142,-0.073836,-0.072454
339.000000,-0.049225,-0.073968,-0.072584
340.000000,-0.049309,-0.074100,-0.072713
341.000000,-0.049392,-0.074232,-0.072842
342.000000,-0.049475,-0.074364,-0.072972
343.000000,-0.049558,-0.074496,-0.073101
344.000000,-0.049641,-0.074628,-0.073230
345.000000,-0.049724,-0.074760,-0.073358
346.000000,-0.049807,-0.074892,-0.073487
347.000000,-0.049890,-0.075023,-0.073616
348.000000,-0.049973,-0.075155,-0.073744
349.000000,-0.050055,-0.075286,-0.073873
350.000000,-0.050138,-0.075417,-0.074001
351.000000,-0.050220,-0.075548,-0.074129
352.000000,-0.050303,-0.075679,-0.074257
353.000000,-0.050385,-0.075810,-0.074385
354.000000,-0.050467,-0.075941,-0.074513
355.000000,-0.050549,-0.076071,-0.074641
356.000000,-0.050631,-0.076202,-0.074769
357.000000,-0.050713,-0.076332,-0.074896
358.000000,-0.050795,-0.076463,-0.075024
359.000000,-0.050877,-0.076593,-0.075151
360.000000,-0.050958,-0.076723,-0.075278
361.000000,-0.051040,-0.076853,-0.075405
362.000000,-0.051121,-0.076983,-0.075532
363.000000,-0.051203,-0.077113,-0.075659
364.000000,-0.051284,-0.077242,-0.075786
365.000000,-0.051365,-0.077372,-0.075913
366.000000,-0.051446,-0.077501,-0.076040
367.000000,-0.051528,-0.077631,-0.076166
368.000000,-0.051609,-0.077760,-0.076293
369.000000,-0.051689,-0.077889,-0.076419
370.000000,-0.051770,-0.078018,-0.076545
371.000000,-0.051851,-0.078147,-0.076671
372.000000,-0.051932,-0.078276,-0.076797
373.000000,-0.052012,-0.078405,-0.076923
374.000000,-0.052093,-0.078534,-0.077049
375.000000,-0.052173,-0.078663,-0.077175
376.000000,-0.052254,-0.078791,-0.077301
377.000000,-0.052334,-0.078920,-0.077426
378.000000,-0.052414,-0.079048,-0.077552
379.000000,-0.052494,-0.079176,-0.077677
380.000000,-0.052575,-0.079304,-0.077802
381.000000,-0.052655,-0.079432,-0.077928
382.000000,-0.052734,-0.079560,-0.078053
383.000000,-0.052814,-0.079688,-0.078178
384.000000,-0.052894,-0.079816,-0.078303
385.000000,-0.052974,-0.079944,-0.078427
386.000000,-0.053053,-0.080071,-0.078552
387.000000,-0.053133,-0.080199,-0.078677
388.000000,-0.053212,-0.080326,-0.078801
389.000000,-0.053292,-0.080454,-0.078926
390.000000,-0.053371,-0.080581,-0.079050
391.000000,-0.053450,-0.080708,-0.079175
392.000000,-0.053530,-0.080835,-0.079299
393.000000,-0.053609,-0.080962,-0.079423
394.000000,-0.053688,-0.081089,-0.079547
395.000000,-0.053767,-0.081216,-0.079671
396.000000,-0.053846,-0.081342,-0.079795
397.000000,-0.053925,-0.081469,-0.079919
398.000000,-0.054003,-0.081596,-0.080042
399.000000,-0.054082,-0.081722,-0.080166
400.000000,-0.054161,-0.081848,-0.080289
401.000000,-0.054239,-0.081975,-0.080413
402.000000,-0.054318,-0.082101,-0.080536
403.000000,-0.054396,-0.082227,-0.080659
404.000000,-0.054474,-0.082353,-0.080783
405.000000,-0.054553,-0.082479,-0.080906
406.000000,-0.054631,-0.082605,-0.081029
407.000000,-0.054709,-0.082731,-0.081152
408.000000,-0.054787,-0.082856,-0.081275
409.000000,-0.054865,-0.082982,-0.081397
410.000000,-0.054943,-0.083108,-0.081520
411.000000,-0.055021,-0.083233,-0.081643
412.000000,-0.055099,-0.083358,-0.081765
413.000000,-0.055176,-0.083484,-0.081888
414.000000,-0.055254,-0.083609,-0.082010
415.000000,-0.055332,-0.083734,-0.082132
416.000000,-0.055409,-0.083859,-0.082255
417.000000,-0.055487,-0.083984,-0.082377
418.000000,-0.055564,-0.084109,-0.082499
419.000000,-0.055641,-0.084234,-0.082621
420.000000,-0.055719,-0.084359,-0.082743
421.000000,-0.055796,-0.084483,-0.082864
422.000000,-0.055873,-0.084608,-0.082986
423.000000,-0.055950,-0.084732,-0.083108
424.000000,-0.056027,-0.084857,-0.083230
425.000000,-0.056104,-0.084981,-0.083351
426.000000,-0.056181,-0.085106,-0.083473
427.000000,-0.056258,-0.085230,-0.083594
428.000000,-0.056335,-0.085354,-0.083715
429.000000,-0.056411,-0.085478,-0.083836
430.000000,-0.056488,-0.085602,-0.083958
431.000000,-0.056565,-0.085726,-0.084079
432.000000,-0.056641,-0.085850,-0.084200
433.000000,-0.056717,-0.085974,-0.084321
434.000000,-0.056794,-0.086097,-0.084441
435.000000,-0.056870,-0.086221,-0.084562
436.000000,-0.056946,-0.086345,-0.084683
437.000000,-0.057023,-0.086468,-0.084804
438.000000,-0.057099,-0.086591,-0.084924
439.000000,-0.057175,-0.086715,-0.085045
440.000000,-0.057251,-0.086838,-0.085165
441.000000,-0.057327,-0.086961,-0.085286
442.000000,-0.057403,-0.087084,-0.085406
443.000000,-0.057479,-0.087208,-0.085526
444.000000,-0.057555,-0.087331,-0.085646
445.000000,-0.057630,-0.087453,-0.085766
446.000000,-0.057706,-0.087576,-0.085886
447.000000,-0.057782,-0.087699,-0.086006
448.000000,-0.057857,-0.087822,-0.086126
449.000000,-0.057933,-0.087945,-0.086246
450.000000,-0.058008,-0.088067,-0.086366
451.000000,-0.058083,-0.088190,-0.086485
452.000000,-0.058159,-0.088312,-0.086605
453.000000,-0.058234,-0.088435,-0.086725
454.000000,-0.058309,-0.088557,-0.086844
455.000000,-0.058384,-0.088679,-0.086964
456.000000,-0.058460,-0.088801,-0.087083
457.000000,-0.058535,-0.088923,-0.087202
458.000000,-0.058610,-0.089045,-0.087321
459.000000,-0.058685,-0.089167,-0.087441
460.000000,-0.058759,-0.089289,-0.087560
461.000000,-0.058834,-0.089411,-0.087679
462.000000,-0.058909,-0.089533,-0.087798
463.000000,-0.058984,-0.089655,-0.087917
464.000000,-0.059058,-0.089777,-0.088035
465.000000,-0.059133,-0.089898,-0.088154
466.000000,-0.059208,-0.090020,-0.088273
467.000000,-0.059282,-0.090141,-0.088392
468.000000,-0.059356,-0.090263,-0.088510
469.000000,-0.059431,-0.090384,-0.088629
470.000000,-0.059505,-0.090505,-0.088747
471.000000,-0.059579,-0.090627,-0.088865
472.000000,-0.059654,-0.090748,-0.088984
473.000000,-0.059728,-0.090869,-0.089102
474.000000,-0.059802,-0.090990,-0.089220
475.000000,-0.059876,-0.091111,-0.089338
476.000000,-0.059950,-0.091232,-0.089457
477.000000,-0.060024,-0.091353,-0.089575
478.000000,-0.060098,-0.091474,-0.089693
479.000000,-0.060172,-0.091594,-0.089810
480.000000,-0.060246,-0.091715,-0.089928
481.000000,-0.060319,-0.091836,-0.090046
482.000000,-0.060393,-0.091956,-0.090164
483.000000,-0.060467,-0.092077,-0.090282
484.000000,-0.060540,-0.092197,-0.090399
485.000000,-0.060614,-0.092318,-0.090517
486.000000,-0.060687,-0.092438,-0.090634
487.000000,-0.060761,-0.092558,-0.090752
488.000000,-0.060834,-0.092679,-0.090869
489.000000,-0.060908,-0.092799,-0.090986
490.000000,-0.060981,-0.092919,-0.091104
491.000000,-0.061054,-0.093039,-0.091221
492.000000,-0.061127,-0.093159,-0.091338
493.000000,-0.061200,-0.093279,-0.091455
494.000000,-0.061274,-0.093399,-0.091572
495.000000,-0.061347,-0.093519,-0.091689
496.000000,-0.061420,-0.093638,-0.091806
497.000000,-0.061493,-0.093758,-0.091923
498.000000,-0.061565,-0.093878,-0.092040
499.000000,-0.061638,-0.093997,-0.092157
500.000000,-0.061711,-0.094117,-0.092273
501.000000,-0.061784,-0.094237,-0.092390
502.000000,-0.061857,-0.094356,-0.092507
503.000000,-0.061929,-0.094475,-0.092623
504.000000,-0.062002,-0.094595,-0.092740
505.000000,-0.062074,-0.094714,-0.092856
506.000000,-0.062147,-0.094833,-0.092973
507.000000,-0.062219,-0.094953,-0.093089
508.000000,-0.062292,-0.095072,-0.093205
509.000000,-0.062364,-0.095191,-0.093322
510.000000,-0.062436,-0.095310,-0.093438
511.000000,-0.062509,-0.095429,-0.093554
512.000000,-0.062581,-0.095548,-0.093670
513.000000,-0.062653,-0.095667,-0.093786
